,class,lines,direction,text,signs,complete,alignment,sign height,images
1,VN,1,R/L,+700-032+,2,Y,,,
3,UC,1,L/R,+740-031-001-140+,4,Y,,,
1,PP,1,R/L,+390-004-002-817+,4,Y,,,
1,UC,1,L/R,+033-705-235-000+,4,N,Slanting linear,Unequal,
3,LP,1,L/R,+520-033-705-235-832-002-817+,7,Y,Slanting linear,Unequal,
1,SC,1,R/L,+740-515-126+,3,Y,,,
1,UC,1,,]700+,1,?,Indefinable,Indefinable,
3,UC,1,,]740+,1,?,Indefinable,Indefinable,
1,SC,1,R/L,+690-368-817+,3,Y,,,
3,PP,1,R/L,+740-630-240-033-171+,5,Y,,,
1,VN,1,L/R,+700-034+,2,Y,,,
3,PP,1,L/R,+400-740-100-240+,4,Y,,,
1,VN,1,R/L,+700-033+,2,Y,,,
3,SC,1,R/L,+824-032-578-415+,4,Y,,,
5,SS,1,R/L,+740-760-840-799+,4,Y,,,
1,UC,1,,+540-000[,2,N,,,
1,NV,1,R/L,+032-700+,2,Y,,,
3,PP,1,R/L,+405-035-002-861+,4,Y,,,
1,NV,1,R/L,+033-700+,2,Y,,,
3,PP,1,R/L,+400-740-904-240+,4,Y,,,
1,VN,1,R/L,+700-032+,2,Y,,,
3,??,1,R/L,+740-702-061-002-000+,5,N,,,
1,UC,1,L/R,+033-705-235[,3,N,,,
3,LP,1,L/R,]000-832-002-817+,4,N,,,
1,UC,1,,+556+,1,Y,Indefinable,Indefinable,
1,VN,1,R/L,+700-033+,2,Y,,,
3,UC,1,R/L,+032-920-491+,3,Y,,,
1,VN,1,R/L,+700-034+,2,Y,,,
3,LC,1,R/L,+400-297-352-892-590-740-176+,7,Y,,,
1,SS,1,R/L,+220-233+,2,Y,,,
1,UC,1,R/L,+400-090+,2,Y,,,
1,VN,1,R/L,+700-034+,2,Y,,,
3,PP,1,R/L,+565-740-176-231+,4,Y,,,
1,VN,1,R/L,+700-033+,2,Y,,,
3,SC,1,R/L,+400-368-741+,3,Y,,,
1,SC,1,R/L,+090-100-415-717+,4,Y,,,
1,SS,1,R/L,+400-740-798-460[,4,?,,,
1,VN,1,R/L,+700-034+,2,Y,,,
3,SS,1,R/L,+740-384-031+,3,Y,,,
1,PP,1,R/L,+400-740-176-235+,4,Y,,,
1,VN,1,R/L,+700-034+,2,Y,,,
3,UC,1,R/L,+740-636-240-060-692+,5,Y,,,
1,VN,1,R/L,+700-033+,2,Y,,,
3,SS,1,R/L,+740-143-067+,3,Y,,,
1,SC,1,R/L,+407-790-032+,3,Y,Linear,Equal,
1,VN,1,R/L,+700-034+,2,Y,,,
3,UC,1,R/L,+400-740-717+,3,Y,,,
1,UC,1,,+700+,1,Y,Indefinable,Indefinable,
1,UC,1,,]176-790[,2,?,,Unequal,
1,SS,1,R/L,+405-004-104+,3,Y,Strong linear,Equal,
1,SC,1,R/L,]000-590-832-741-003+,5,N,,,
1,SC,1,R/L,]711-335-575-413+,4,N,,,
3,UC,1,R/L,+519-742-849+,3,Y,,,
1,SS,1,L/R,+740-843+,2,Y,,,
3,VN,1,R/L,+700-033+,2,Y,,,
1,VN,1,R/L,+700-034-001+,3,Y,,,
1,NU,1,,+031+,1,Y,Indefinable,Indefinable,
1,UC,1,R/L,+400-740-000[,3,N,,,
1,VN,1,L/R,+033-700+,2,Y,,,
3,UC,1,L/R,+520-240+,2,Y,,,
1,UC,1,R/L,+000-100-415+,3,N,,,
3,UC,1,R/L,+824-892-413+,3,Y,,,
1,UC,1,R/L,+400-158[,2,?,,Unequal,
1,UC,1,,+413+,1,Y,Indefinable,Indefinable,
1,2L,2,,+000-700/700-000+,4,N,,,
1,NU,1,,+032+,1,Y,Indefinable,Indefinable,
1,NU,1,,+031+,1,Y,Indefinable,Indefinable,
1,NU,1,,+032+,1,Y,Indefinable,Indefinable,
1,NU,1,,+032+,1,Y,Indefinable,Indefinable,
1,NU,1,,+033+,1,Y,Indefinable,Indefinable,
1,UC,1,,+033-820+,2,Y,,,
1,SC,1,R/L,+382-760-382-002-820+,5,Y,,,
1,NU,1,,+033-000[,2,N,,,
3,UC,1,L/R,+740-642[,2,?,,Unequal,
1,??,1,,]000+,1,N,Indefinable,Indefinable,
3,??,1,,]000-090+,2,N,,,
1,VN,1,R/L,]700-034+,2,?,,,
3,UC,1,R/L,+740-690-000[,3,N,,Unequal,
1,VN,1,R/L,+700-032+,2,Y,,,
3,UC,1,R/L,+740-817-491+,3,Y,,,
1,SS,1,R/L,+740-817-491+,3,Y,,,
1,PP,1,L/R,+740-760-240+,3,Y,,,
1,NV,1,,+033-700+,2,Y,,,
1,PP,1,R/L,+740-636-240[,3,?,,,
3,UC,1,R/L,]892-413+,2,?,,,
